fileName,startTime,endTime,fileLength,fileSize,deltaTime
s09991-3262-03-15-14-47n.hea.csv,14:47:48 15/03/3262,19:10:48 15/03/3262,264,36,180
s09991-3262-03-15-21-19n.hea.csv,21:19:48 15/03/3262,12:02:48 22/03/3262,9524,1272,572
s10013-2564-11-01-23-37n.hea.csv,23:37:18 01/11/2564,15:00:18 04/11/2564,3804,680,56
s10061-3433-02-14-12-33n.hea.csv,12:33:58 14/02/3433,04:27:58 28/02/3433,19675,3112,5819
s10061-3433-02-28-14-02n.hea.csv,14:02:56 28/02/3433,05:21:56 01/03/3433,920,100,26068
s10069-2971-03-07-18-21n.hea.csv,18:21:47 07/03/2971,12:53:47 11/03/2971,5433,636,12992
s10069-2971-03-11-14-24n.hea.csv,14:24:47 11/03/2971,14:41:47 13/03/2971,2898,344,18515
s10077-2851-05-06-03-14n.hea.csv,03:14:21 06/05/2851,14:08:21 09/05/2851,4975,564,43
s10086-2925-02-14-20-09n.hea.csv,20:09:24 14/02/2925,17:58:24 15/02/2925,1310,148,-42
s10186-3355-01-20-07-11n.hea.csv,07:11:14 20/01/3355,18:57:14 21/01/3355,2147,268,407
s10186-3355-01-21-21-38n.hea.csv,21:38:14 21/01/3355,15:26:14 23/01/3355,2509,312,2714
s10186-3355-02-01-10-41n.hea.csv,10:41:37 01/02/3355,12:56:37 03/02/3355,3016,344,17897
s10186-3355-02-03-15-23n.hea.csv,15:23:37 03/02/3355,18:27:37 05/02/3355,3065,332,21059
s10205-2631-06-14-11-38n.hea.csv,11:38:30 14/06/2631,11:52:30 15/06/2631,1455,232,105
s10209-2846-09-21-12-12n.hea.csv,12:12:00 21/09/2846,12:50:00 21/09/2846,39,8,9346
s10209-2846-09-21-15-19n.hea.csv,15:19:00 21/09/2846,09:03:00 25/09/2846,5385,676,9533
s10209-2846-09-25-10-52n.hea.csv,10:52:00 25/09/2846,09:43:00 27/09/2846,2812,356,15026
s10209-2846-09-27-10-52n.hea.csv,10:52:00 27/09/2846,10:20:00 02/10/2846,7169,904,17906
s10241-3150-11-15-13-27n.hea.csv,13:27:45 15/11/3150,07:57:45 17/11/3150,2551,428,161
s10250-2979-04-04-16-13n.hea.csv,16:13:59 04/04/2979,14:56:59 05/04/2979,1364,156,53
s10289-3261-01-02-16-46n.hea.csv,16:46:10 02/01/3261,20:51:10 06/01/3261,6006,668,20
s10315-2557-11-18-19-45n.hea.csv,19:45:51 18/11/2557,11:36:51 24/11/2557,8152,868,104
s10320-3233-11-21-17-43n.hea.csv,17:43:36 21/11/3233,11:57:36 23/11/3233,2535,424,297
s10342-2995-10-08-12-15n.hea.csv,12:15:21 08/10/2995,09:42:21 15/10/2995,9928,1624,155
s10384-3160-02-28-01-45n.hea.csv,01:45:26 28/02/3160,10:44:26 28/02/3160,540,88,0
s10384-3160-02-28-12-57n.hea.csv,12:57:26 28/02/3160,16:58:26 01/03/3160,3122,484,672
s10419-3470-11-08-13-54n.hea.csv,13:54:58 08/11/3470,11:33:58 09/11/3470,1300,220,35
s10423-2627-03-16-13-09n.hea.csv,13:09:23 16/03/2627,16:12:23 18/03/2627,3064,412,209
s10432-2794-12-20-15-58n.hea.csv,15:58:08 20/12/2794,10:09:08 21/12/2794,1092,124,1774
s10455-2768-03-09-13-44n.hea.csv,13:44:17 09/03/2768,14:59:17 09/03/2768,76,12,72
s10455-2768-03-09-16-47n.hea.csv,16:47:17 09/03/2768,17:44:17 11/03/2768,2938,320,255
s10485-2793-09-24-11-25n.hea.csv,11:25:00 24/09/2793,13:30:00 24/09/2793,126,24,805
s10485-2793-09-24-17-15n.hea.csv,17:15:00 24/09/2793,11:14:00 30/09/2793,8280,1496,1155
s10487-3307-09-06-21-45n.hea.csv,21:45:15 06/09/3307,10:36:15 07/09/3307,772,128,284298
